Participant,Age,Sex,NativeLanguage
1,22,0,Arabic
2,30,0,Arabic
3,18,1,Arabic
4,32,0,Arabic
5,22,0,Arabic
6,20,0,Arabic
7,22,0,Arabic
8,21,0,Arabic
9,23,1,Arabic
10,18,1,Arabic
11,33,1,Arabic
12,28,1,Arabic
13,29,1,Arabic
14,33,0,Arabic
15,24,1,Arabic
16,23,0,Arabic
17,21,0,Arabic
18,19,1,Arabic
19,20,0,Mandarin
20,21,1,Mandarin
21,29,0,Mandarin
22,20,0,Mandarin
23,27,1,Mandarin
24,18,1,Mandarin
25,24,0,Mandarin
26,32,0,Mandarin
27,32,1,Mandarin
28,21,0,Spanish
29,22,0,French
30,21,0,German